,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
160,Ithaca,31122,41,1,5,9,26,840,56,768,16,2
161,Jamestown,29102,199,0,31,19,149,863,203,621,39,13
162,Johnson City Village,14196,61,1,19,10,31,765,76,681,8,1
163,Johnstown,8198,13,0,8,0,5,138,13,123,2,1
164,Jordan Village,1298,0,0,0,0,0,0,0,0,0,0
165,Kenmore Village,15025,11,0,0,4,7,175,23,147,5,0
166,Kensington Village,1189,0,0,0,0,0,5,0,3,2,0
167,Kent Town,13235,5,0,4,1,0,27,2,23,2,1
168,Kings Point Village,5312,2,0,0,1,1,24,4,2,18,0
169,Kingston,22844,68,2,13,10,43,498,59,419,20,2
170,Kirkland Town,8329,0,0,0,0,0,4,0,3,1,0
171,Lackawanna,17724,81,0,12,9,60,378,53,291,34,1
172,Lake Placid Village,2369,3,0,2,1,0,19,3,16,0,0
173,Lake Success Village,3153,0,0,0,0,0,16,2,12,2,0
174,Lakewood-Busti,7193,5,0,2,2,1,332,42,284,6,1
175,Lancaster Town,37571,21,0,5,8,8,398,37,351,10,0
176,Larchmont Village,6096,2,0,1,1,0,84,2,78,4,0
177,Lewisboro Town,12582,0,0,0,0,0,0,0,0,0,0
178,Lewiston Town and Village,15763,4,0,2,0,2,87,4,72,11,3
179,Liberty Village,4083,29,0,7,4,18,119,15,103,1,0
180,Little Falls,4642,15,0,2,1,12,39,4,34,1,2
181,Liverpool Village,2202,0,0,0,0,0,9,0,8,1,0
182,Lloyd Harbor Village,3667,3,0,0,0,3,7,0,6,1,0
183,Lloyd Town,10463,7,0,2,1,4,99,9,88,2,0
184,Long Beach,33552,19,0,0,2,17,66,5,53,8,1
185,Lowville Village,3315,3,0,0,0,3,14,2,12,0,0
186,Lynbrook Village,19492,13,0,2,2,9,95,8,81,6,0
187,Macedon Town and Village,8877,5,0,2,0,3,72,6,63,3,0
188,Malone Village,5581,12,0,6,1,5,112,12,96,4,0
189,Malverne Village,8514,2,0,0,0,2,10,3,7,0,0
190,Mamaroneck Town,12088,2,0,0,0,2,79,10,67,2,0
191,Mamaroneck Village,19183,16,0,1,2,13,157,21,122,14,0
192,Manchester Village,1618,0,0,0,0,0,0,0,0,0,0
193,Manlius Town,24168,19,0,5,4,10,254,24,216,14,2
194,Marcellus Village,1717,0,0,0,0,0,4,0,4,0,0
195,Marlborough Town,8601,3,0,0,0,3,45,4,37,4,0
196,Massena Village,10177,11,0,0,3,8,246,29,209,8,0
197,Maybrook Village,3791,1,0,0,0,1,7,2,4,1,0
198,Mechanicville,5072,7,0,0,0,7,32,6,23,3,0
199,Medina Village,5631,12,0,2,3,7,90,20,66,4,4
200,Menands Village,3885,4,0,0,1,3,92,14,74,4,0
201,Middleport Village,1745,1,0,0,0,1,10,2,8,0,0
202,Middletown,27801,87,3,16,16,52,308,45,249,14,2
203,Millerton Village,2958,0,0,0,0,0,10,6,3,1,0
204,Mohawk Village,2533,3,0,1,0,2,24,4,20,0,1
205,Monroe Village,8593,7,0,0,1,6,119,4,114,1,1
206,Montgomery Village,4621,0,0,0,0,0,13,1,12,0,0
207,Monticello Village,6392,25,0,2,4,19,113,27,82,4,0
208,Moriah Town,4557,1,0,0,0,1,1,0,1,0,0
209,Mount Hope Town,6624,1,0,0,0,1,6,0,6,0,0
210,Mount Vernon,67619,381,2,20,98,261,842,91,642,109,6
211,Nassau Village,1101,0,0,0,0,0,7,1,6,0,0
212,Newark Village,8799,28,0,2,10,16,228,20,202,6,0
213,New Berlin Town,1510,0,0,0,0,0,15,2,12,1,0
214,Newburgh,28070,317,3,19,82,213,640,137,484,19,3
215,Newburgh Town,31128,22,0,2,6,14,911,34,864,13,4
216,New Castle Town,17896,1,0,0,0,1,53,5,48,0,0
217,New Hartford Town and Village,20294,17,0,2,6,9,617,21,587,9,3
218,New Windsor Town,27971,28,2,3,1,22,271,34,235,2,2
219,New York Mills Village,3217,0,0,0,0,0,39,5,32,2,0
220,Niagara Falls,47900,431,2,32,101,296,1848,266,1471,111,25
221,Niagara Town,7958,4,0,0,2,2,212,9,194,9,1
222,Niskayuna Town,22407,11,0,1,4,6,308,23,275,10,0
223,Nissequogue Village,1731,0,0,0,0,0,5,1,3,1,0
224,Norfolk Town,4375,1,0,0,0,1,4,2,2,0,0
225,North Castle Town,12248,4,0,0,0,4,75,5,66,4,0
226,Northport Village,7288,0,0,0,0,0,7,0,7,0,0
227,North Syracuse Village,6637,14,0,0,5,9,70,5,61,4,0
228,North Tonawanda,30228,44,0,11,13,20,351,47,288,16,1
229,Norwich,6581,28,0,15,0,13,186,31,153,2,0
230,Norwood Village,1553,2,0,0,0,2,6,2,4,0,1
231,Ocean Beach Village,83,0,0,0,0,0,9,0,9,0,0
232,Ogdensburg,10484,36,0,3,2,31,296,56,237,3,2
233,Ogden Town,20144,10,1,0,2,7,141,2,129,10,0
234,Old Brookville Village,2202,1,0,0,0,1,45,9,27,9,0
235,Old Westbury Village,4752,1,0,0,0,1,47,13,20,14,1
236,Olean,13499,45,0,9,4,32,310,36,266,8,2
237,Oneida,10864,41,0,15,4,22,372,44,326,2,0
238,Oneonta City,13915,34,0,10,3,21,145,29,108,8,1
239,Orangetown Town,37371,34,0,5,12,17,265,27,234,4,1
240,Orchard Park Town,29599,24,0,9,4,11,345,31,306,8,0
241,Oriskany Village,1329,0,0,0,0,0,10,0,10,0,0
242,Ossining Village,24991,20,1,1,4,14,157,13,141,3,0
243,Oswego City,17239,51,0,17,4,30,583,56,503,24,1
244,Owego Village,3887,17,0,8,2,7,114,19,94,1,0
245,Oyster Bay Cove Village,4296,1,0,0,0,1,7,1,4,2,0
246,Painted Post Village,1953,1,0,0,0,1,8,3,4,1,0
247,Palmyra Village,3316,4,0,2,1,1,7,0,6,1,0
248,Peekskill,24243,30,0,1,7,22,209,7,196,6,0
249,Pelham Manor Village,5567,7,0,0,2,5,149,10,134,5,0
250,Pelham Village,6911,4,0,0,1,3,45,3,41,1,0
251,Penn Yan Village,4910,5,0,4,0,1,51,8,42,1,1
252,Perry Village,3442,4,0,3,0,1,36,7,27,2,0
253,Philmont Village,1260,0,0,0,0,0,3,0,3,0,0
254,Phoenix Village,2242,4,0,0,0,4,15,0,15,0,0
255,Piermont Village,2538,0,0,0,0,0,4,1,3,0,0
256,Pine Plains Town,2402,0,0,0,0,0,0,0,0,0,0
257,Plattekill Town,10160,2,0,0,0,2,22,7,15,0,0
258,Plattsburgh City,19367,36,0,13,1,22,243,22,219,2,3
259,Pleasantville Village,7261,6,3,0,3,0,38,3,35,0,0
260,Port Chester Village,29317,21,1,2,7,11,200,18,172,10,1
261,Port Jervis,8523,37,1,7,3,26,137,14,117,6,1
262,Port Washington,19396,6,0,0,2,4,91,6,82,3,1
263,Potsdam Village,8917,2,0,0,1,1,67,8,58,1,0
264,Poughkeepsie,30422,235,3,26,63,143,513,73,402,38,5
265,Poughkeepsie Town,38889,70,2,12,20,36,991,65,893,33,3
266,Pound Ridge Town,5159,1,0,1,0,0,34,2,32,0,0
267,Pulaski Village,2227,0,0,0,0,0,22,2,20,0,0
268,Quogue Village,1015,1,0,0,0,1,29,0,28,1,1
269,Ramapo Town,94633,68,1,16,5,46,436,36,380,20,4
270,Red Hook Village,1956,1,0,0,0,1,38,9,29,0,0
271,Rhinebeck Village,2556,1,0,0,0,1,21,3,18,0,0
272,Riverhead Town,33536,33,1,3,10,19,568,43,516,9,4
273,Rochester,205769,1540,33,102,429,976,7142,1269,5222,651,83
274,Rockville Centre Village,24669,10,0,0,3,7,175,19,139,17,0
275,Rome,32019,54,1,8,11,34,524,84,416,24,2
276,Rosendale Town,5826,1,0,0,0,1,26,3,23,0,0
277,Rotterdam Town,29855,32,0,4,3,25,754,54,669,31,0
278,Rye,15756,1,0,0,1,0,15,1,11,3,0
279,Rye Brook Village,9530,0,0,0,0,0,69,6,58,5,0
280,Sackets Harbor Village,1413,0,0,0,0,0,0,0,0,0,0
281,Sag Harbor Village,2298,0,0,0,0,0,0,0,0,0,0
282,Salamanca,5439,24,0,0,4,20,54,8,43,3,1
283,Sands Point Village,2912,1,0,1,0,0,29,5,12,12,0
284,Saranac Lake Village,5221,4,0,2,0,2,35,8,26,1,0
285,Saratoga Springs,28186,64,0,19,5,40,448,51,390,7,3
286,Saugerties Town,19095,27,0,8,0,19,165,28,132,5,1
287,Scarsdale Village,17954,6,0,0,0,6,117,12,104,1,0
288,Schenectady,65504,528,3,56,133,336,1770,248,1392,130,20
289,Schodack Town,11722,9,0,2,2,5,74,11,59,4,0
290,Schoharie Village,818,0,0,0,0,0,0,0,0,0,0
291,Scotia Village,7641,15,0,4,5,6,111,11,94,6,0
292,Seneca Falls Town,8632,9,0,3,1,5,205,15,187,3,0
293,Shandaken Town,2947,0,0,0,0,0,9,1,8,0,0
294,Shawangunk Town,13853,2,0,1,0,1,41,8,30,3,0
295,Sherburne Village,1302,0,0,0,0,0,13,0,13,0,0
296,Sherrill,2991,0,0,0,0,0,6,3,3,0,0
297,Shortsville Village,1419,0,0,0,0,0,1,0,1,0,0
298,Sidney Village,3573,16,0,6,2,8,119,7,109,3,1
299,Skaneateles Village,2464,0,0,0,0,0,40,1,39,0,0
300,Sleepy Hollow Village,10080,0,0,0,0,0,0,0,0,0,0
301,Solvay Village,6227,13,0,2,1,10,65,17,40,8,0
302,Southampton Town,51090,46,0,9,6,31,474,42,411,21,0
303,Southampton Village,3326,1,0,0,0,1,48,6,38,4,0
304,South Glens Falls Village,3677,4,0,0,1,3,35,3,31,1,0
305,Southold Town,19915,15,0,4,0,11,209,30,172,7,2
306,Spring Valley Village,32367,115,1,15,38,61,425,40,380,5,2
307,Stillwater Town,7300,1,0,1,0,0,16,1,14,1,0
308,St. Johnsville Village,1679,1,0,0,0,1,22,1,20,1,0
309,Stony Point Town,15413,10,0,4,1,5,51,9,41,1,1
310,Syracuse,142438,1129,19,105,246,759,4464,850,3051,563,39
311,Tarrytown Village,11416,6,0,2,2,2,58,14,38,6,0
312,Theresa Village,788,0,0,0,0,0,0,0,0,0,0
313,Ticonderoga Town,4790,10,0,0,1,9,30,3,23,4,1
314,Tonawanda,14754,38,0,11,4,23,188,20,158,10,0
315,Tonawanda Town,56717,83,4,5,34,40,725,132,552,41,4
316,Troy,49286,296,3,25,73,195,1365,225,1035,105,11
317,Trumansburg Village,1757,1,0,1,0,0,31,2,29,0,0
318,Tuckahoe Village,6584,0,0,0,0,0,28,3,21,4,0
319,Tuxedo Town,2901,0,0,0,0,0,1,1,0,0,0
320,Ulster Town,12625,16,1,4,2,9,208,15,190,3,0
321,Utica,59842,374,6,31,143,194,1986,261,1635,90,16
322,Vernon Village,1156,0,0,0,0,0,6,0,6,0,0
323,Walden Village,6670,2,0,0,0,2,36,2,32,2,0
324,Wallkill Town,29236,37,0,2,8,27,557,27,514,16,0
325,Warsaw Village,3251,5,0,2,0,3,43,4,36,3,0
326,Washingtonville Village,5740,1,0,0,0,1,20,2,17,1,0
327,Waterford Town and Village,8574,2,0,0,0,2,27,10,13,4,0
328,Waterloo Village,4885,0,0,0,0,0,51,11,38,2,0
329,Watertown,25102,154,0,57,14,83,887,108,743,36,6
330,Watervliet,9954,44,0,5,7,32,198,25,162,11,2
331,Watkins Glen Village,1905,1,0,0,0,1,24,3,21,0,0
332,Waverly Village,4119,3,0,1,0,2,10,2,8,0,0
333,Webb Town,1790,1,0,0,0,1,3,0,2,1,0
334,Weedsport Village,1711,0,0,0,0,0,14,2,12,0,0
335,Wellsville Village,4366,9,0,6,0,3,32,2,30,0,0
336,West Carthage Village,1957,0,0,0,0,0,10,1,9,0,0
337,Westfield Village,2981,0,0,0,0,0,11,0,11,0,0
338,Westhampton Beach Village,1811,0,0,0,0,0,26,4,21,1,1
339,West Seneca Town,45399,67,1,16,13,37,601,83,491,27,1
340,Whitestown Town,9096,0,0,0,0,0,28,5,14,9,0
341,Windham Town,1675,2,0,0,0,2,5,1,4,0,0
342,Woodbury Town,11006,3,0,0,1,2,460,5,450,5,0
343,Woodridge Village,776,4,0,0,1,3,17,8,9,0,0
344,Woodstock Town,5781,3,0,0,1,2,32,7,24,1,1
345,Yonkers,200075,708,6,42,224,436,1826,208,1466,152,15
346,Yorktown Town,36426,8,0,1,3,4,214,20,186,8,0
347,Youngstown Village,1879,0,0,0,0,0,3,0,3,0,0
