,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Ada,5509,3,0,2,1,0,24,6,17,1,0
1,Akron,197882,1782,27,181,328,1246,6568,1686,4305,577,65
2,Alliance,21536,28,0,4,1,23,558,61,474,23,10
3,Amberley Village,3791,2,0,0,0,2,35,3,29,3,0
4,American Township,12050,0,0,0,0,0,97,5,88,4,0
5,Amherst,12166,4,0,0,3,1,147,20,123,4,1
6,Arcanum,2006,0,0,0,0,0,9,0,9,0,0
7,Archbold,4320,5,0,1,1,3,80,6,68,6,0
8,Ashland,20410,33,1,18,2,12,384,50,331,3,1
9,Ashville,4331,4,0,2,0,2,53,1,39,13,0
10,Athens,24745,16,0,0,5,11,398,30,349,19,3
11,Aurora,16319,1,0,0,0,1,128,5,120,3,1
12,Bainbridge Township,11493,4,0,2,1,1,241,34,203,4,0
13,Barberton,26015,69,2,15,10,42,689,111,546,32,4
14,Barnesville,4020,1,0,1,0,0,12,2,8,2,0
15,Batavia,1680,3,0,0,0,3,35,8,25,2,0
16,"Bath Township, Summit County",9659,5,0,1,1,3,145,13,130,2,0
17,Bay Village,15235,4,1,0,0,3,72,11,56,5,0
18,Bazetta Township,5530,7,0,1,0,6,210,4,204,2,0
19,Beachwood,11612,7,0,2,1,4,438,16,413,9,0
20,Beavercreek,47672,33,0,11,10,12,1193,78,1088,27,4
21,Beaver Township,6415,3,0,2,0,1,74,21,51,2,0
22,Bedford,12485,19,0,1,8,10,157,22,103,32,0
23,Bellaire,4039,12,0,4,0,8,30,4,25,1,1
24,Bellbrook,7326,0,0,0,0,0,36,3,33,0,0
25,Bellefontaine,13145,25,0,6,0,19,202,32,167,3,0
26,Bellville,1895,1,0,0,1,0,15,0,14,1,0
27,Belpre,6386,4,0,0,0,4,105,21,70,14,0
28,Berea,18573,9,0,0,3,6,79,16,59,4,1
29,Bethel,2809,8,0,1,0,7,77,14,60,3,1
30,Bexley,13956,12,0,4,3,5,300,63,229,8,0
31,Blanchester,4251,3,0,1,0,2,99,20,78,1,0
32,Blue Ash,12307,14,0,3,2,9,204,17,179,8,0
33,Bowling Green,31719,37,0,18,4,15,547,42,489,16,0
34,Brewster,2158,2,0,1,0,1,23,6,17,0,1
35,Bridgeport,1741,1,0,1,0,0,10,1,7,2,0
36,Brimfield Township,10388,7,1,1,2,3,204,16,185,3,0
37,Brunswick,34977,17,0,2,1,14,189,20,157,12,2
38,Bucyrus,11712,25,0,6,3,16,287,49,230,8,1
39,Butler Township,7819,23,0,9,5,9,386,30,345,11,2
40,Campbell,7815,9,0,1,2,6,53,25,21,7,0
41,Canal Fulton,5450,7,0,0,2,5,52,10,40,2,0
