,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
0,Las Cruces,103520,514,10,64,57,383,3707,654,2746,307,3
1,Roswell,47533,404,9,61,36,298,1793,301,1362,130,27
2,Sunland Park,18103,65,0,9,2,54,189,58,114,17,1
