,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
224,Tyrone,5160,9,0,0,2,7,69,13,56,0,0
225,Union City,3126,3,0,1,0,2,35,2,33,0,0
226,"Union Township, Lawrence County",4863,15,0,0,2,13,187,22,165,0,0
227,Upper Burrell Township,2220,0,0,0,0,0,10,0,10,0,0
228,Upper Chichester Township,16925,28,0,5,7,16,265,19,230,16,0
229,Upper Dublin Township,26624,7,2,1,0,4,147,11,130,6,0
230,Upper Perkiomen,3876,1,0,1,0,0,41,4,34,3,0
231,"Upper Providence Township, Delaware County",10437,2,0,1,0,1,21,2,14,5,0
232,Upper St. Clair Township,19741,1,0,0,0,1,149,5,142,2,0
233,Valley Township,7934,14,0,0,3,11,77,15,61,1,0
234,Vandling,705,1,0,1,0,0,1,0,0,1,0
235,Vintondale,376,0,0,0,0,0,0,0,0,0,0
236,Wampum,665,0,0,0,0,0,6,1,5,0,0
237,Warren,9054,60,0,3,1,56,134,12,119,3,0
238,Warrington Township,24607,23,0,1,4,18,164,11,149,4,0
239,Wayne Township,2458,0,0,0,0,0,9,1,8,0,1
240,Weissport,396,0,0,0,0,0,1,0,1,0,0
241,West Brandywine Township,7508,4,0,2,0,2,54,6,42,6,0
242,West Caln Township,9113,27,0,3,1,23,52,13,30,9,0
243,West Carroll Township,1203,5,0,1,0,4,4,2,2,0,0
244,West Cocalico Township,7446,3,0,1,0,2,16,7,9,0,0
245,West Conshohocken,1435,5,0,2,1,2,20,6,12,2,0
246,West Cornwall Township,2058,0,0,0,0,0,0,0,0,0,0
247,West Hazleton,4463,9,0,0,1,8,73,17,50,6,0
248,West Kittanning,1095,0,0,0,0,0,0,0,0,0,0
249,West Leechburg,1222,0,0,0,0,0,2,0,2,0,0
250,West Manchester Township,18860,27,1,3,6,17,480,19,441,20,0
251,West Norriton Township,15650,38,2,1,13,22,227,20,192,15,0
252,West Nottingham Township,2700,0,0,0,0,0,0,0,0,0,0
253,West Pikeland Township,4086,0,0,0,0,0,16,2,12,2,0
254,West Pottsgrove Township,3876,5,0,0,1,4,81,7,70,4,0
255,West Reading,4224,30,0,0,3,27,128,9,113,6,0
256,Westtown-East Goshen Regional,32366,44,0,6,2,36,173,11,155,7,0
257,West Vincent Township,5887,2,0,0,0,2,16,5,11,0,0
258,West Whiteland Township,18389,9,0,6,1,2,373,8,359,6,1
259,Whitpain Township,19294,9,0,0,8,1,132,9,122,1,0
260,Wilkes-Barre,40722,242,3,24,68,147,852,194,616,42,2
261,Wilkinsburg,15389,120,11,6,22,81,403,75,262,66,1
262,Wilkins Township,6137,3,0,0,2,1,129,10,108,11,0
263,Williamsburg,1174,0,0,0,0,0,16,5,10,1,0
264,Wilson,7822,21,1,4,2,14,144,11,126,7,0
265,Womelsdorf,2899,1,0,0,0,1,10,1,9,0,0
266,Worthington,592,0,0,0,0,0,0,0,0,0,0
267,Wyomissing,10504,18,1,4,6,7,199,8,188,3,1
