,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
164,New Tazewell,2702,7,0,0,0,7,76,6,64,6,0
165,Niota,727,2,0,0,0,2,15,3,8,4,0
166,Nolensville,9488,16,0,1,3,12,94,23,61,10,2
167,Norris,1609,6,0,0,0,6,16,3,11,2,0
168,Oakland,8323,1,0,0,0,1,65,4,60,1,0
169,Oak Ridge,29084,112,0,22,9,81,671,97,523,51,6
170,Obion,1042,0,0,0,0,0,5,1,4,0,0
171,Oliver Springs,3419,2,0,0,0,2,59,13,32,14,2
172,Oneida,3704,10,0,1,0,9,116,28,85,3,0
173,Paris,10047,31,1,1,4,25,271,61,199,11,0
174,Parsons,2304,5,0,0,0,5,28,1,16,11,0
175,Petersburg,564,0,0,0,0,0,2,0,2,0,0
176,Pigeon Forge,6383,47,1,12,4,30,334,54,241,39,0
177,Pikeville,1626,6,0,0,0,6,17,6,5,6,0
178,Piperton,1887,0,0,0,0,0,11,4,7,0,0
179,Pittman Center,581,0,0,0,0,0,1,0,1,0,0
180,Plainview,2126,2,0,0,0,2,16,7,8,1,0
181,Pleasant View,4686,0,0,0,0,0,53,10,40,3,0
182,Portland,12995,41,0,4,7,30,235,41,166,28,3
183,Pulaski,7628,54,0,10,5,39,349,32,301,16,1
184,Puryear,666,2,0,0,0,2,10,4,5,1,0
185,Red Bank,11779,49,0,10,3,36,262,52,180,30,0
186,Red Boiling Springs,1140,8,0,0,0,8,30,6,22,2,0
187,Ridgely,1641,15,0,1,1,13,19,1,17,1,0
188,Ridgetop,2079,1,0,1,0,0,2,0,2,0,0
189,Ripley,7818,120,1,1,9,109,287,70,205,12,1
190,Rockwood,5439,31,1,0,2,28,298,23,246,29,1
191,Rocky Top,1766,16,1,0,1,14,113,8,85,20,1
192,Rogersville,4277,13,0,1,2,10,208,18,170,20,1
193,Rossville,950,0,0,0,0,0,4,1,3,0,0
194,Rutherford,1066,1,0,0,0,1,6,2,4,0,0
195,Rutledge,1352,0,0,0,0,0,25,6,18,1,0
196,Saltillo,528,0,0,0,0,0,12,4,8,0,0
197,Savannah,6941,69,1,6,6,56,412,76,300,36,3
198,Scotts Hill,977,1,0,0,0,1,10,5,3,2,0
199,Selmer,4401,19,1,2,0,16,118,12,93,13,0
200,Sevierville,16760,108,1,6,8,93,830,78,677,75,1
201,Sharon,911,4,0,0,1,3,17,5,7,5,1
202,Shelbyville,22062,183,0,15,15,153,667,103,514,50,2
203,Signal Mountain,8605,4,0,2,0,2,39,7,29,3,0
204,Smithville,4828,21,0,1,2,18,118,19,89,10,0
205,Smyrna,52225,204,0,11,29,164,1464,163,1193,108,6
206,Soddy-Daisy,13818,33,0,1,2,30,339,55,256,28,2
207,Somerville,3213,14,1,1,1,11,52,7,40,5,2
208,South Carthage,1386,20,1,0,0,19,13,6,5,2,0
209,South Fulton,2214,13,0,0,0,13,41,5,30,6,0
210,South Pittsburg,3008,8,0,0,0,8,20,3,14,3,0
211,Sparta,4957,6,0,1,0,5,207,24,158,25,0
212,Spencer,1646,2,0,0,0,2,10,0,8,2,0
213,Spring City,1865,5,0,2,0,3,24,0,21,3,0
214,Springfield,17022,115,1,7,5,102,392,41,318,33,2
215,Spring Hill,43303,53,0,7,4,42,381,45,320,16,1
216,St. Joseph,814,1,0,0,0,1,6,3,2,1,0
217,Surgoinsville,1772,1,0,0,0,1,8,1,5,2,0
218,Sweetwater,5875,29,0,0,1,28,295,46,219,30,1
219,Tazewell,2273,6,0,0,0,6,64,11,36,17,0
220,Tellico Plains,921,6,0,0,0,6,22,5,14,3,1
221,Tiptonville,4286,15,0,0,4,11,29,9,18,2,1
222,Toone,334,1,0,0,0,1,3,2,1,0,0
223,Townsend,446,0,0,0,0,0,12,1,11,0,0
224,Tracy City,1389,8,0,1,0,7,36,4,24,8,0
225,Trenton,4022,33,0,1,3,29,178,17,151,10,1
226,Trezevant,842,2,0,0,0,2,2,0,1,1,0
227,Trimble,613,2,0,0,1,1,0,0,0,0,0
228,Troy,1317,5,0,0,0,5,13,1,9,3,0
229,Tullahoma,19468,143,0,14,12,117,638,83,510,45,4
230,Tusculum,2805,0,0,0,0,0,4,1,3,0,0
231,Union City,10340,83,1,8,6,68,522,77,419,26,5
232,Vonore,1539,8,0,1,0,7,71,8,58,5,0
233,Wartburg,896,1,0,1,0,0,9,0,7,2,0
234,Wartrace,692,2,0,0,0,2,1,0,1,0,0
235,Watertown,1519,1,0,0,0,1,13,6,6,1,0
236,Waverly,4081,4,0,0,0,4,60,9,50,1,0
237,Waynesboro,2307,12,0,0,0,12,18,10,4,4,1
238,Westmoreland,2431,6,0,0,0,6,6,0,4,2,0
239,White Bluff,3659,7,0,1,0,6,40,7,29,4,0
240,White House,12822,19,0,1,2,16,161,9,144,8,0
241,White Pine,2356,2,0,0,0,2,72,5,63,4,0
242,Whiteville,4466,4,0,0,1,3,23,14,9,0,0
243,Whitwell,1723,3,0,1,0,2,21,2,11,8,1
244,Winchester,8733,42,1,2,2,37,293,26,253,14,0
245,Woodbury,2878,15,0,0,0,15,29,5,22,2,0
