,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
230,Mackinac Island,468,2,0,0,0,2,94,0,93,1,0
231,Mackinaw City,797,0,0,0,0,0,23,2,21,0,0
232,Madison Heights,30081,53,0,11,13,29,593,92,461,40,2
233,Madison Township,8287,11,2,1,0,8,100,4,92,4,0
234,Mancelona,1364,0,0,0,0,0,0,0,0,0,0
235,Manistee,6103,23,0,17,0,6,99,9,87,3,0
236,Manistique,2915,16,0,3,0,13,44,5,37,2,0
237,Manton,1544,0,0,0,0,0,0,0,0,0,0
238,Marenisco Township,1434,0,0,0,0,0,1,0,1,0,0
239,Marine City,4061,9,0,1,0,8,21,1,18,2,0
240,Marlette,1756,6,0,0,1,5,16,0,16,0,0
241,Marquette,20599,26,0,15,3,8,182,12,165,5,0
242,Marshall,6997,10,0,4,1,5,81,6,71,4,0
243,Marysville,9656,9,1,0,1,7,73,7,63,3,0
244,Mason,8483,19,0,2,0,17,82,10,71,1,1
245,Mattawan,1970,15,0,1,0,14,44,10,30,4,0
246,Mayville,882,4,0,4,0,0,3,0,3,0,0
247,Melvindale,10264,47,0,5,2,40,236,35,172,29,1
248,Memphis,1184,1,0,1,0,0,0,0,0,0,0
249,Mendon,854,1,0,0,0,1,7,1,6,0,0
250,Menominee,8052,33,0,13,1,19,144,18,117,9,3
251,Meridian Township,43790,108,1,40,12,55,900,96,759,45,7
252,Metamora Township,4287,4,0,1,0,3,14,1,11,2,0
253,Metro Police Authority of Genesee County,19931,49,0,8,5,36,268,81,178,9,1
254,Midland,41791,56,1,21,4,30,392,36,344,12,3
255,Milan,6106,13,0,6,1,6,45,7,35,3,0
256,Milford,16984,12,0,4,2,6,62,11,45,6,0
257,Millington,995,0,0,0,0,0,16,1,15,0,0
258,Montague,2359,3,1,0,0,2,33,2,28,3,0
259,Montrose Township,7447,6,0,1,1,4,59,16,37,6,1
260,Morenci,2146,9,0,2,0,7,19,6,13,0,0
261,Morrice,894,1,0,1,0,0,7,0,7,0,0
262,Mount Morris,2834,25,0,9,3,13,31,9,22,0,0
263,Mount Morris Township,20274,130,2,18,7,103,344,111,187,46,5
264,Mount Pleasant,25315,48,0,22,2,24,384,36,332,16,1
265,Munising,2177,7,1,0,0,6,40,6,33,1,0
266,Muskegon,37178,308,8,27,46,227,1293,252,911,130,11
267,Muskegon Heights,10717,232,5,15,36,176,544,113,395,36,11
268,Muskegon Township,17937,45,0,11,6,28,494,56,417,21,0
269,Napoleon Township,6757,5,0,2,0,3,17,3,12,2,0
270,Nashville,1678,4,0,1,0,3,21,8,12,1,0
271,Negaunee,4544,9,0,3,1,5,40,2,38,0,1
272,Newaygo,2068,6,0,1,0,5,39,6,32,1,2
273,New Baltimore,12444,8,0,6,0,2,47,9,38,0,1
274,New Buffalo,1877,2,0,0,0,2,13,2,11,0,0
275,New Era,446,0,0,0,0,0,2,0,2,0,0
276,New Lothrop,552,0,0,0,0,0,4,1,3,0,0
277,Niles,11106,86,0,20,17,49,366,49,274,43,1
278,Northfield Township,8788,16,0,4,0,12,81,19,56,6,0
279,North Muskegon,3797,2,0,2,0,0,51,1,49,1,0
280,Northville,5971,8,0,0,0,8,44,2,42,0,1
281,Northville Township,29170,20,0,6,0,14,297,31,250,16,2
282,Norton Shores,24702,37,0,11,5,21,477,44,405,28,2
283,Norway,2756,1,0,1,0,0,0,0,0,0,0
284,Novi,61699,48,1,8,2,37,514,21,466,27,0
285,Oakland Township,19649,2,0,2,0,0,38,14,23,1,0
286,Oak Park,29654,72,2,12,15,43,510,125,323,62,6
287,Olivet,1857,2,0,1,0,1,13,0,13,0,0
288,Ontwa Township-Edwardsburg,6553,19,0,4,1,14,128,21,93,14,1
289,Orchard Lake,2483,2,0,0,0,2,20,3,16,1,1
290,Orion Township,36878,24,1,3,2,18,172,18,147,7,0
291,Oscoda Township,6746,19,1,1,1,16,79,27,49,3,2
292,Otisville,823,0,0,0,0,0,0,0,0,0,0
293,Otsego,4007,0,0,0,0,0,37,10,24,3,1
294,Ovid,1611,0,0,0,0,0,4,1,2,1,0
295,Owendale,224,0,0,0,0,0,0,0,0,0,0
296,Owosso,14399,97,1,21,7,68,197,44,140,13,3
297,Oxford,3574,1,0,0,1,0,10,2,7,1,0
298,Oxford Township,19467,14,0,6,0,8,82,13,65,4,0
299,Paw Paw,3370,17,0,9,1,7,177,20,152,5,0
300,Peck,591,0,0,0,0,0,0,0,0,0,0
301,Pentwater,853,2,0,0,1,1,5,0,5,0,0
302,Perry,2075,7,0,0,1,6,18,7,10,1,0
303,Petoskey,5747,2,0,0,1,1,30,8,21,1,0
304,Pigeon,1123,0,0,0,0,0,0,0,0,0,0
305,Pinckney,2410,2,0,0,0,2,11,2,9,0,0
306,Pinconning,1238,3,0,2,0,1,12,3,9,0,0
307,Pittsfield Township,39417,69,1,16,11,41,629,54,512,63,2
308,Plainwell,3804,11,0,2,0,9,53,5,45,3,0
309,Pleasant Ridge,2465,0,0,0,0,0,15,1,14,0,0
310,Plymouth,9175,6,0,4,1,1,61,9,46,6,1
311,Plymouth Township,27020,18,1,4,1,12,184,21,141,22,1
312,Pontiac,59791,769,10,66,108,585,1300,315,875,110,15
313,Portage,49583,136,0,30,14,92,1549,204,1279,66,7
314,Port Austin,620,1,0,0,0,1,9,3,6,0,0
315,Port Huron,28783,218,2,25,26,165,662,124,491,47,9
316,Portland,3932,11,0,5,0,6,47,2,40,5,1
317,Potterville,2712,0,0,0,0,0,2,0,1,1,0
318,Prairieville Township,3525,2,0,2,0,0,16,0,15,1,0
319,Quincy,1616,4,0,0,0,4,25,3,21,1,0
320,Raisin Township,7760,6,0,4,0,2,6,4,2,0,0
321,Reading,1042,0,0,0,0,0,0,0,0,0,0
322,Redford Township,46742,244,4,33,20,187,953,218,551,184,5
323,Reed City,2377,18,0,4,0,14,39,13,26,0,0
324,Reese,1364,2,0,0,0,2,8,4,4,0,0
325,"Richfield Township, Genesee County",8358,6,0,3,0,3,63,19,33,11,0
326,"Richfield Township, Roscommon County",3630,4,0,3,0,1,8,4,4,0,0
327,Richland,806,1,0,0,0,1,3,0,3,0,0
328,"Richland Township, Saginaw County",3925,1,0,0,0,1,9,2,7,0,0
329,Richmond,5904,26,0,6,0,20,29,1,28,0,0
330,River Rouge,7404,80,3,10,11,56,155,26,107,22,8
331,Riverview,12027,20,0,2,4,14,102,14,72,16,2
332,Rochester,13429,6,0,2,1,3,51,5,44,2,0
333,Rochester Hills,75167,39,0,5,3,31,461,42,405,14,1
334,Rockford,6377,9,0,6,1,2,60,5,52,3,0
335,Rockwood,3165,3,0,1,0,2,19,2,15,2,0
336,Rogers City,2663,1,0,0,0,1,26,3,21,2,0
337,Romeo,3608,3,0,0,0,3,5,1,4,0,1
338,Romulus,23507,231,2,34,18,177,671,117,446,108,1
339,Roosevelt Park,3793,3,0,0,0,3,254,1,250,3,1
340,Roseville,47381,180,3,18,45,114,1361,141,1086,134,7
341,Rothbury,448,0,0,0,0,0,9,0,9,0,0
342,Royal Oak,59742,61,1,9,4,47,439,38,369,32,1
343,Saginaw,47954,707,9,34,51,613,743,245,421,77,20
