,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
194,Neshkoro,426,0,0,0,0,0,2,1,1,0,0
195,New Berlin,39752,20,1,6,3,10,452,32,407,13,0
196,New Glarus,2187,2,0,0,0,2,30,1,29,0,0
197,New Holstein,3056,1,0,0,0,1,8,1,7,0,0
198,New London,7118,7,0,1,1,5,121,8,106,7,0
199,New Richmond,9268,22,0,7,1,14,115,14,101,0,1
200,Niagara,1545,3,0,3,0,0,7,0,6,1,0
201,North Fond du Lac,5098,7,0,2,0,5,29,3,25,1,1
202,North Hudson,3813,2,0,0,0,2,9,0,8,1,0
203,North Prairie,2249,2,0,0,0,2,7,0,7,0,0
204,Norwalk,632,0,0,0,0,0,0,0,0,0,0
205,Oak Creek,36679,40,0,11,5,24,722,73,615,34,1
206,Oconomowoc,16980,13,0,6,1,6,125,7,115,3,0
207,Oconomowoc Lake,604,0,0,0,0,0,4,0,4,0,0
208,Oconomowoc Town,8741,3,0,2,0,1,17,1,16,0,0
209,Oconto,4517,14,0,1,0,13,72,5,65,2,0
210,Oconto Falls,2793,4,0,2,0,2,43,2,39,2,2
211,Omro2,3587,5,0,1,0,4,15,2,13,0,0
212,Onalaska,18825,10,0,2,2,6,522,24,491,7,0
213,Oregon,10677,8,0,2,3,3,53,14,38,1,0
214,Osceola,2511,21,0,1,0,20,15,0,15,0,0
215,Oshkosh2,66797,190,0,50,16,124,1067,213,794,60,3
216,Osseo,1672,0,0,0,0,0,30,1,25,4,0
217,Oxford,603,1,0,0,0,1,11,1,9,1,0
218,Palmyra,1767,1,0,0,0,1,10,0,10,0,0
219,Park Falls,2212,6,0,0,1,5,6,0,6,0,0
220,Pepin,758,4,0,0,0,4,17,1,16,0,0
221,Peshtigo,3333,4,0,2,0,2,28,2,25,1,0
222,Pewaukee Village,8190,6,0,5,0,1,87,11,75,1,1
223,Phillips,1339,1,0,0,0,1,13,2,11,0,0
224,Pittsville,829,1,0,0,0,1,40,0,40,0,0
225,Plainfield,824,0,0,0,0,0,0,0,0,0,0
226,Platteville,12115,19,0,4,1,14,230,16,201,13,0
227,Pleasant Prairie,21074,13,1,3,2,7,419,15,384,20,0
228,Plover,13164,20,0,4,1,15,198,14,181,3,0
229,Plymouth,8765,5,0,5,0,0,114,5,106,3,0
230,Portage,10452,17,0,2,2,13,164,7,143,14,1
231,Port Edwards,1772,0,0,0,0,0,5,1,3,1,0
232,Port Washington,11908,29,0,2,0,27,88,4,80,4,0
233,Poynette,2499,4,0,2,0,2,4,0,4,0,0
234,Prairie du Chien,5636,4,0,3,0,1,82,4,77,1,0
235,Prescott,4278,7,0,0,2,5,41,11,24,6,0
236,Princeton,1167,3,0,0,0,3,18,1,15,2,0
237,Pulaski,3598,8,0,0,0,8,16,0,15,1,0
238,Racine,77269,291,4,45,53,189,990,212,682,96,4
239,Readstown,418,0,0,0,0,0,0,0,0,0,0
240,Reedsburg,9554,5,0,3,0,2,159,6,147,6,0
241,Rhinelander,7615,13,0,0,0,13,133,5,126,2,1
242,Rib Lake,867,0,0,0,0,0,3,0,3,0,0
243,Rice Lake,8369,21,0,12,0,9,284,12,269,3,0
244,Richland Center,4923,11,0,4,0,7,55,6,44,5,0
245,Rio,1033,0,0,0,0,0,0,0,0,0,0
246,Ripon,7820,15,0,11,0,4,68,11,55,2,0
247,Ripon Town,1374,0,0,0,0,0,0,0,0,0,0
248,River Falls,16069,13,0,5,2,6,188,25,157,6,0
249,River Hills,1579,1,0,0,0,1,8,2,6,0,0
250,Rome Town,2727,4,0,4,0,0,24,6,17,1,0
251,Rosendale,1029,0,0,0,0,0,0,0,0,0,0
252,Rothschild2,5266,7,0,3,0,4,51,6,41,4,0
253,Sauk Prairie,4633,4,0,2,0,2,45,5,34,6,1
254,Saukville,4428,1,0,1,0,0,58,2,53,3,0
255,Seymour,3474,12,2,5,0,5,36,1,35,0,0
256,Sharon,1559,2,0,0,0,2,0,0,0,0,0
257,Sheboygan,48035,172,0,48,10,114,783,88,676,19,3
258,Sheboygan Falls,7947,3,0,2,0,1,59,10,45,4,0
259,Shiocton,919,0,0,0,0,0,0,0,0,0,0
260,Shorewood2,13217,20,0,1,6,13,210,24,176,10,0
261,Shorewood Hills,2079,1,0,0,0,1,40,5,33,2,0
262,Shullsburg,1189,0,0,0,0,0,22,2,19,1,0
263,Siren,770,0,0,0,0,0,15,0,14,1,0
264,Slinger,5527,5,0,0,0,5,65,4,60,1,0
265,South Milwaukee,20731,29,1,7,0,21,347,22,308,17,0
266,Sparta,9823,15,0,7,1,7,87,5,79,3,0
267,Spencer,1883,5,0,5,0,0,9,4,5,0,0
268,Spooner,2598,13,1,3,1,8,42,3,39,0,0
269,Spring Green,1644,0,0,0,0,0,3,0,3,0,0
270,Spring Valley,1352,0,0,0,0,0,4,0,4,0,0
271,Stanley2,3710,5,0,4,0,1,30,2,27,1,0
272,St. Croix Falls,2032,13,0,1,0,12,101,4,88,9,0
273,Stevens Point,26095,55,1,8,1,45,260,26,229,5,2
274,St. Francis,9526,14,0,3,4,7,118,26,83,9,0
275,Stoughton,13110,30,0,0,8,22,190,30,156,4,0
276,Strum,1088,0,0,0,0,0,7,1,5,1,0
277,Sturgeon Bay,8937,4,0,0,0,4,93,4,89,0,1
278,Sturtevant2,6645,5,0,0,1,4,32,2,26,4,0
279,Summit,4944,13,0,6,0,7,32,4,28,0,0
280,Sun Prairie,34562,33,0,1,11,21,498,35,412,51,1
281,Superior,25967,72,0,14,4,54,1101,122,918,61,0
282,Theresa,1204,0,0,0,0,0,21,0,20,1,0
283,Thiensville,3139,0,0,0,0,0,23,1,21,1,0
284,Thorp,1618,0,0,0,0,0,0,0,0,0,0
285,Three Lakes,2101,1,0,0,0,1,12,4,8,0,0
286,Tomah,9406,26,1,5,1,19,191,15,171,5,0
287,Tomahawk,3130,3,0,2,0,1,49,14,32,3,0
288,Town of East Troy,4064,4,0,0,0,4,9,3,6,0,0
289,Town of Madison,6934,16,0,4,5,7,143,18,101,24,0
290,Trempealeau,1652,1,0,0,0,1,6,2,4,0,0
291,Twin Lakes,6157,17,0,0,0,17,39,10,28,1,0
292,Two Rivers,11027,28,0,2,0,26,117,5,109,3,0
293,Verona,13510,18,0,5,1,12,189,35,145,9,0
294,Viroqua,4412,3,0,1,0,2,57,2,52,3,0
295,Walworth,2837,2,0,0,1,1,16,1,14,1,0
296,Washburn,2039,10,0,0,0,10,10,1,9,0,0
297,Waterford Town,6505,0,0,0,0,0,24,4,18,2,0
298,Waterloo,3350,1,0,1,0,0,32,2,29,1,0
299,Watertown,23596,47,0,14,2,31,241,31,201,9,0
300,Waukesha,72718,67,1,25,8,33,690,77,575,38,5
301,Waunakee,14163,15,0,4,1,10,134,20,106,8,0
302,Waupaca,5874,8,0,4,0,4,124,9,108,7,0
303,Waupun,11315,3,1,1,0,1,62,9,51,2,2
304,Wausau2,38507,156,1,42,5,108,521,81,396,44,3
305,Wautoma,2118,1,0,0,1,0,94,2,91,1,0
306,Wauwatosa,48562,57,0,7,28,22,1331,88,1178,65,1
307,Webster,616,0,0,0,0,0,22,9,13,0,0
308,West Allis,59302,211,2,30,69,110,1686,262,1282,142,9
309,West Bend,31638,67,0,10,3,54,512,24,473,15,1
310,Westby,2238,5,0,0,0,5,36,4,31,1,1
311,Westfield,1254,0,0,0,0,0,13,0,13,0,0
312,West Milwaukee2,4107,30,1,0,11,18,1467,31,1411,25,0
313,West Salem,5087,5,0,0,0,5,38,3,31,4,0
314,Whitefish Bay,13816,3,0,1,1,1,145,6,130,9,0
315,Whitehall,1569,0,0,0,0,0,17,2,14,1,0
316,Whitewater2,14997,31,0,13,0,18,159,11,139,9,0
317,Wild Rose,691,0,0,0,0,0,1,0,1,0,0
318,Williams Bay,2638,1,0,0,0,1,10,0,10,0,0
319,Wind Point,1702,1,0,0,1,0,2,0,2,0,0
320,Winneconne2,2506,2,0,0,0,2,19,1,17,1,0
321,Wisconsin Rapids,17613,28,0,23,1,4,549,36,501,12,0
322,Woodruff,1962,5,0,0,0,5,8,0,7,1,0
