,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
99,East Greenwich Township,10658,0,0,0,0,0,103,16,82,5,0
100,East Hanover Township,10990,3,0,0,1,2,126,10,107,9,0
101,East Newark,2661,1,0,0,1,0,24,3,18,3,0
102,East Orange,64200,275,3,26,102,144,894,151,581,162,11
103,East Rutherford,9831,4,0,0,2,2,127,9,106,12,0
104,East Windsor Township,27343,16,1,1,4,10,182,17,151,14,1
105,Eatontown,12215,34,0,7,9,18,274,18,247,9,0
106,Edgewater,12821,4,0,1,2,1,160,13,142,5,0
107,Edgewater Park Township,8644,16,1,4,3,8,132,28,88,16,0
108,Edison Township,100282,84,1,9,19,55,1371,138,1143,90,2
109,Egg Harbor City,4085,21,0,1,11,9,195,42,144,9,1
110,Egg Harbor Township,42475,52,0,0,10,42,672,91,558,23,4
111,Elizabeth,128753,926,7,50,384,485,3898,365,2776,757,1
112,Elk Township,4154,0,0,0,0,0,39,8,25,6,1
113,Elmer,1300,1,1,0,0,0,5,0,5,0,0
114,Elmwood Park,20104,25,0,0,12,13,274,37,215,22,0
115,Elsinboro Township,967,2,0,0,0,2,11,1,10,0,1
116,Emerson,7640,1,0,0,0,1,31,2,25,4,0
117,Englewood,28683,71,2,10,18,41,343,64,257,22,0
118,Englewood Cliffs,5368,1,0,0,0,1,48,27,12,9,0
119,Englishtown,1937,3,0,0,0,3,12,2,9,1,0
120,Essex Fells,2072,0,0,0,0,0,16,2,10,4,0
121,Evesham Township,44999,29,0,5,8,16,510,55,440,15,0
122,Ewing Township,36338,60,0,4,20,36,507,76,385,46,1
123,"Fairfield Township, Essex County",7472,0,0,0,0,0,177,8,158,11,0
124,Fair Haven,5784,1,0,0,0,1,16,4,10,2,0
125,Fair Lawn,33064,7,0,0,1,6,236,32,187,17,2
126,Fairview,14285,27,1,1,11,14,152,38,104,10,0
127,Fanwood,7718,2,0,1,0,1,25,5,17,3,0
128,Far Hills,909,0,0,0,0,0,3,0,3,0,0
129,Fieldsboro,539,0,0,0,0,0,2,0,2,0,0
130,Flemington,4590,10,0,1,0,9,58,9,47,2,1
131,Florence Township,12593,17,0,7,2,8,81,25,51,5,1
132,Florham Park,11522,1,0,0,0,1,111,19,85,7,0
133,Fort Lee,38062,25,0,2,6,17,323,57,239,27,1
134,Franklin,4699,10,0,1,1,8,48,3,44,1,0
135,Franklin Lakes,11109,5,0,0,1,4,59,4,44,11,2
136,"Franklin Township, Gloucester County",16264,15,0,1,2,12,169,32,123,14,0
137,"Franklin Township, Hunterdon County",3560,0,0,0,0,0,8,1,7,0,0
138,"Franklin Township, Somerset County",66173,58,4,10,18,26,625,76,517,32,0
139,Freehold Borough,11733,22,0,0,11,11,129,20,105,4,0
140,Freehold Township,34560,34,2,1,9,22,487,21,455,11,1
141,Frenchtown,1348,0,0,0,0,0,3,0,3,0,0
142,Galloway Township,35813,62,0,2,2,58,367,94,252,21,1
143,Garfield,31888,51,1,9,16,25,620,58,532,30,2
144,Garwood,4361,1,0,0,0,1,35,5,30,0,0
145,Gibbsboro,2212,1,0,0,0,1,23,4,17,2,0
146,Glassboro,20082,31,0,5,3,23,303,83,205,15,1
147,Glen Ridge,7574,4,0,2,0,2,108,21,82,5,0
148,Glen Rock,11803,0,0,0,0,0,60,13,43,4,0
149,Gloucester City,11168,20,2,1,3,14,281,41,230,10,3
150,Gloucester Township,63500,63,1,9,18,35,880,67,789,24,1
151,Green Brook Township,7071,1,0,0,0,1,56,8,44,4,0
152,"Greenwich Township, Gloucester County",4777,2,0,1,0,1,58,6,50,2,0
153,"Greenwich Township, Warren County",5447,1,0,0,1,0,126,11,110,5,0
154,Guttenberg,11289,27,0,0,13,14,71,12,53,6,0
155,Hackensack,44505,103,1,6,15,81,594,54,506,34,2
156,Hackettstown,9431,3,0,0,0,3,28,2,25,1,1
157,Haddonfield,11261,5,0,0,2,3,135,13,119,3,0
